aac2i	6_n_netilmicin
aac2ia	6_n_netilmicin
aac2ia	dibekacin
aac2ia	gentamicin
aac2ia	netilmicin
aac2ia	tobramycin
aac2ib	6_n_netilmicin
aac2ib	dibekacin
aac2ib	gentamicin
aac2ib	netilmicin
aac2ib	tobramycin
aac2ic	6_n_netilmicin
aac2ic	dibekacin
aac2ic	gentamicin
aac2ic	netilmicin
aac2ic	tobramycin
aac2id	6_n_netilmicin
aac2id	dibekacin
aac2id	gentamicin
aac2i	dibekacin
aac2id	netilmicin
aac2id	tobramycin
aac2i	gentamicin
aac2i	netilmicin
aac2i	tobramycin
aac3ia	astromicin
aac3ia	gentamicin
aac3ia	sisomicin
aac3iia	dibekacin
aac3iia	gentamicin
aac3iia	netilmicin
aac3iia	sisomicin
aac3iia	tobramycin
aac3iib	dibekacin
aac3iib	gentamicin
aac3iib	netilmicin
aac3iib	sisomicin
aac3iib	tobramycin
aac3iii	dibekacin
aac3iii	gentamicin
aac3iii	kanamycin
aac3iii	lividomycin
aac3iii	neomycin
aac3iii	paromomycin
aac3iii	sisomicin
aac3iii	tobramycin
aac3iv	apramycin
aac3iv	dibekacin
aac3iv	gentamicin
aac3iv	netilmicin
aac3iv	sisomicin
aac3iv	tobramycin
aac3ix	neomycin
aac3vi	gentamicin
aac3viii	neomycin
aac3viii	ribostamycin
aac3vii	paromomycin
aac3vi	sisomicin
aac3x	aminoglycoside
aac6ia	amikacin
aac6ia	dibekacin
aac6ia	isepamicin
aac6i	amikacin
aac6ia	netilmicin
aac6ia	sisomicin
aac6ia	tobramycin
aac6ib	amikacin
aac6ib	dibekacin
aac6ib	isepamicin
aac6ib	netilmicin
aac6ib	sisomicin
aac6ib	tobramycin
aac6ic	amikacin
aac6ic	dibekacin
aac6ic	isepamicin
aac6ic	netilmicin
aac6ic	sisomicin
aac6ic	tobramycin
aac6i	dibekacin
aac6ie	amikacin
aac6ie	dibekacin
aac6ie	isepamicin
aac6ie	netilmicin
aac6ie	sisomicin
aac6ie	tobramycin
aac6if	amikacin
aac6if	dibekacin
aac6if	isepamicin
aac6if	netilmicin
aac6if	sisomicin
aac6if	tobramycin
aac6ig	amikacin
aac6ig	dibekacin
aac6ig	isepamicin
aac6ig	netilmicin
aac6ig	sisomicin
aac6ig	tobramycin
aac6iia	dibekacin
aac6iia	gentamicin
aac6iia	netilmicin
